customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-CUST1815,Male,0,Yes,No,36,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,52.47,1910.55,Yes
0001-CUST9030,Female,0,No,Yes,60,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,83.96,5049.68,No
0002-CUST9423,Male,0,Yes,No,33,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),62.55,2092.01,No
0003-CUST8257,Male,0,No,No,69,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),56.32,3897.55,No
0004-CUST8317,Male,0,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.08,247.18,Yes
0005-CUST9039,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.74,434.29,Yes
0006-CUST2478,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.8,1574.33,No
0007-CUST5484,Male,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.87,1098.64,Yes
0008-CUST2331,Male,0,No,No,68,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),60.09,4088.75,No
0009-CUST2280,Female,0,Yes,Yes,32,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,59.29,1874.97,No
0010-CUST3421,Male,0,Yes,No,16,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),71.54,1133.41,No
0011-CUST3239,Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,1012.95,No
0012-CUST2405,Male,1,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,84.59,0.73,No
0013-CUST8603,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),61.22,750.15,No
0014-CUST9370,Female,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),97.61,2516.36,Yes
0015-CUST7365,Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),67.99,4701.03,No
0016-CUST9084,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),90.53,5239.28,No
0017-CUST9742,Female,1,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,82.88,Yes
0018-CUST7127,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,77.92,1713.12,Yes
0019-CUST5074,Male,1,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.85,162.02,Yes
0020-CUST6432,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,99.43,4974.04,Yes
